ID,Grouping,Group,Species,TADL (min),O2 store,Prey W (g),Prey E  (kJ),logPreyE,E feeding (kJ),logE feeding,Eff_max,logEff_max),TL (m),Mc (kg),# dives,MXD (m),Depth (m),DT_max (min),DT_max-TADL,DT_max-TADL+25,log of that,DT_med (min),BTM_max (min),BTM_med (min),BTM_max/DT,BTM_med/DT,FE_max,FE_med,FE/DT max,FE/DT med,ST_max (min),ST_med (min),log FE max
mn170613-20,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,18,63.20,61.34,7.46,-11.94,13.06,1.12,5.11,5.43,3.04,0.73,0.60,5,4,1.02,0.78,5.01,1.98,0.70
mn170703-40,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,12,199.49,148.38,11.87,-7.53,17.47,1.24,8.77,8.21,6.06,0.78,0.70,18,12.5,1.69,1.44,3.31,2.47,1.26
mn170808-42,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,15,68.33,29.97,3.41,-15.99,9.01,0.95,1.40,1.10,0.93,0.33,0.33,3,1,1.47,0.83,10.16,0.58,0.48
mn170809-41,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,13,163.77,42.20,3.66,-15.74,9.26,0.97,1.97,1.54,0.84,0.67,0.33,3,1,1.14,0.86,4.47,0.51,0.48
mn170809-43,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,10,149.60,42.40,2.97,-16.43,8.57,0.93,1.32,0.72,0.64,0.45,0.32,2,1,1.65,0.84,3.14,0.63,0.30
mn170810-40,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,12,104.21,45.46,3.79,-15.61,9.39,0.97,1.78,1.74,0.61,0.49,0.32,5,1,1.42,0.88,3.71,1.46,0.70
mn170810-41,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,4,42.49,21.49,1.55,-17.85,7.15,0.85,1.22,,,,,1,1,1.62,0.85,0.58,0.50,0.00
mn170815-10,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,20,165.03,31.66,8.90,-10.51,14.50,1.16,1.95,5.78,1.45,0.75,0.59,8,2,1.92,1.15,3.18,0.58,0.90
mn170817-30,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,16,139.65,125.68,6.78,-12.62,12.38,1.09,4.73,2.97,2.26,0.55,0.43,4,1.5,0.75,0.37,4.85,2.20,0.60
mn170817-43,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,25,186.17,142.70,8.31,-11.09,13.91,1.14,4.64,3.55,1.29,0.51,0.29,3,1,0.72,0.31,5.45,1.82,0.48
mn170817-50,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,67,152.91,128.21,6.72,-12.68,12.32,1.09,2.99,3.60,1.22,0.56,0.29,4,1,1.86,0.42,5.81,1.48,0.60
mn170908-44,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,285,173.38,29.97,9.12,-10.28,14.72,1.17,2.01,5.81,1.18,0.72,0.40,6,1,1.96,0.50,41.83,0.75,0.78
mn170912-42,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,169,213.22,23.88,7.88,-11.52,13.48,1.13,1.69,3.19,2.34,0.51,0.35,2,1,2.15,0.59,6.84,0.66,0.30
mn170912-43,Balaenopteridae,Rorqual,Megaptera_novaeangliae,19.4,1572,59020,181190,5.26,1561632.84,6.19,55.32368233,1.74,14,36000,176,116.05,17.61,6.44,-12.96,12.04,1.08,1.71,4.09,1.29,0.78,0.50,7,1,2.91,0.62,159.23,0.89,0.85
